Game,Platform,Genre,Publisher,Year,Global_Sales_M,Critic_Score,User_Score,ESRB_Rating,Dev_Team_Size,Budget_MUSD,Region,Franchise,Metascore_Bucket
Max Park,PC,Simulation,Neon Works,2003,0.02,80,8.0,E,27,9.1,Other,False,High
The Season,PC,Sports,Stellar Entertainment,2013,0.37,78,7.2,M,28,20.4,Other,True,Mid
Challenge Chronicles: Revelation,XSX,Puzzle,Blue Games,2020,0.1,52,5.1,T,16,11.4,Other,False,Low
Game Adventure,XOne,Sports,Crystal Games,2013,0.61,89,9.6,E10+,35,35.2,Other,True,High
Turbo Brawl,PC,Fighting,Silver Labs,1994,0.22,70,6.1,E10+,34,13.4,Other,False,Mid
Think Stories 5,PS1,Puzzle,Future Interactive,2005,0.26,95,9.8,M,4,0.8,JP,False,Top
Classic Tales,PS2,Indie,Purple Works,2006,0.04,58,6.0,M,6,3.1,JP,False,Low
Dash Epic,Switch,Platform,Neon Interactive,2017,0.21,68,7.1,T,15,8.8,JP,False,Mid
Tournament Tales 3,XSX,Fighting,Cosmic Studios,2020,1.27,93,8.5,E,46,33.5,Other,True,Top
Season Chronicles,WiiU,Sports,Storm Interactive,2012,0.16,71,7.0,E,15,4.9,Other,False,Mid
Adventure Odyssey: Revenge,PS2,Adventure,Green Systems,2000,1.17,74,7.3,RP,12,6.0,EU,False,Mid
Robot Quest,PS3,Adventure,Mystic Labs,2009,0.48,62,5.5,M,19,3.7,JP,False,Low
Bear Command,PC,Strategy,Stellar Systems,2007,0.02,89,8.4,T,44,12.1,EU,False,High
Circuit Saga,PS1,Racing,Storm Studios,2005,0.01,50,4.7,E,22,14.4,JP,False,Low
Fun Saga,GC,Party,Blue Designs,2007,0.37,65,6.7,RP,15,3.5,NA,False,Mid
Mage Duel,NES,Fighting,Future Interactive,1994,0.08,64,6.7,E10+,18,10.7,NA,False,Low
Crow Strike 2,XSX,Action,Stellar Systems,2020,0.58,63,6.7,E10+,50,23.7,JP,True,Low
Empire Stories: Redemption,PC,Role-Playing,Neon Works,2012,0.19,59,5.5,E10+,42,15.6,JP,False,Low
Samurai Voyage 5,GC,Adventure,Cosmic Productions,2007,0.06,76,6.8,T,10,2.4,JP,False,Mid
Master Mind,PS4,Puzzle,Lightning Games,2020,0.01,65,6.3,E,25,14.8,JP,False,Mid
Vintage Tales,SNES,Indie,Green Systems,1998,0.16,84,8.8,M,6,1.2,Other,True,High
World Epic 4,N64,Simulation,Storm Interactive,2002,0.37,69,6.5,T,8,3.8,NA,False,Mid
Victory Saga,PS2,Sports,Neon Designs,2009,0.32,50,4.8,E,11,5.2,NA,False,Low
Bundle Adventure,Switch,Party,Blue Designs,2017,0.25,78,7.9,E,20,5.4,EU,True,Mid
Alien Mystery,XOne,Puzzle,Silver Labs,2013,0.11,87,8.6,E10+,21,21.4,EU,False,High
Warrior Path 5,PS1,Role-Playing,Crystal Entertainment,2005,0.02,86,7.8,E10+,31,11.0,JP,True,High
Portal Tales,Switch,Role-Playing,Storm Interactive,2017,0.79,86,8.6,M,36,17.6,Other,False,High
Max Discovery 5,Switch,Adventure,Silver Creations,2020,0.14,49,5.1,T,11,5.1,NA,False,Low
Monster Circuit,PS4,Racing,Thunder Interactive,2013,0.09,78,8.2,T,35,11.9,Other,True,Mid
King Combat,PC,Action,Green Labs,2011,2.34,84,8.7,E10+,54,53.8,Other,False,High
Turbo Season: Revolution,PS3,Sports,Blue Games,2015,3.42,67,7.6,E10+,9,2.6,NA,True,Mid
Voyage Chronicles,Switch,Adventure,Cosmic Productions,2017,0.35,82,8.3,T,12,3.9,JP,False,High
Hero Kingdom,X360,Role-Playing,Thunder Studios,2013,0.52,67,6.5,E,29,22.4,JP,False,Mid
Pack Journey,PS3,Party,Silver Labs,2017,0.02,64,6.1,T,17,5.2,Other,True,Low
Park Odyssey 4,Switch,Simulation,Epic Systems,2017,0.11,85,9.4,E,15,10.6,EU,True,High
Season Quest,PS2,Sports,Neon Works,2007,0.04,70,7.2,M,11,4.0,JP,False,Mid
Mini Saga: Revelation,Switch,Party,Purple Works,2017,0.2,83,8.2,RP,12,2.5,JP,False,High
Knight Hotel,PS1,Simulation,Digital Productions,2005,0.59,76,8.6,T,20,14.6,NA,False,Mid
Lap Legends,PC,Racing,Green Labs,2020,0.22,67,6.1,E,41,16.8,Other,True,Mid
Crow Simple,Wii,Indie,Thunder Games,2013,0.25,90,8.3,T,5,1.1,JP,False,Top
Crow Match,PC,Fighting,Storm Games,2004,0.85,71,7.5,T,30,15.5,EU,False,Mid
Puzzle Chronicles,Wii,Puzzle,Storm Interactive,2012,0.4,77,7.3,T,4,0.9,EU,False,Mid
City Epic,Switch,Simulation,Digital Productions,2017,0.26,73,7.1,T,20,8.8,JP,False,Mid
Fire Journey,PS2,Shooter,Crystal Systems,2012,0.83,72,7.1,E,48,34.1,NA,True,Mid
Prince Variety 5,Switch,Party,Purple Studios,2017,0.02,65,6.4,E10+,16,5.1,EU,False,Mid
Sim Chronicles,SNES,Simulation,Digital Productions,1998,0.19,59,5.8,T,14,11.6,EU,False,Low
Max Resort,PS3,Simulation,Green Labs,2015,0.04,66,6.1,E,15,4.7,EU,True,Mid
Combat Epic,NES,Action,Thunder Games,1994,1.56,76,7.5,T,22,10.5,EU,False,Mid
Empire Epic,PC,Role-Playing,Neon Interactive,1998,0.43,81,8.6,T,50,18.4,EU,False,High
Run Epic 3,Switch,Platform,Epic Systems,2017,0.02,65,6.5,T,9,2.2,NA,True,Mid
Sim Quest,PS3,Simulation,Purple Labs,2011,0.04,67,6.4,E10+,14,8.3,EU,False,Mid
Logic Adventure,WiiU,Puzzle,Cosmic Productions,2012,0.03,57,6.2,M,6,1.8,NA,True,Low
Conquest Adventure: Resurrection,PS4,Strategy,Epic Systems,2013,0.19,67,6.5,E,31,26.4,JP,True,Mid
Gun Odyssey,PC,Shooter,Cosmic Studios,2016,0.64,73,7.7,E10+,52,28.1,NA,False,Mid
Park Journey,XSX,Simulation,Purple Labs,2020,0.32,80,8.1,M,31,11.7,JP,False,High
King Gun,PS5,Shooter,Lightning Systems,2020,2.58,71,6.5,E,44,36.7,JP,False,Mid
Dimension Adventure,Switch,Role-Playing,Green Labs,2018,0.72,68,7.2,M,21,7.2,EU,False,Mid
Mouse Solve,SNES,Puzzle,Storm Studios,1998,0.38,77,8.3,T,8,2.5,Other,False,Mid
Warrior Saga 4,WiiU,Action,Blue Games,2012,0.16,77,8.8,T,26,10.8,JP,False,Mid
Fun Adventure 5,Switch,Party,Thunder Games,2017,0.88,78,8.3,E,6,2.2,Other,False,Mid
Gun Stories,XOne,Shooter,Legendary Entertainment,2013,0.25,62,6.1,T,62,72.1,NA,False,Low
Tiger Zoo: Revolution,Wii,Simulation,Thunder Entertainment,2006,0.19,79,7.5,M,15,4.3,NA,True,Mid
Rabbit Discovery,GC,Adventure,Purple Works,2005,0.18,61,7.0,T,15,2.3,Other,False,Low
Combat Quest,PS3,Action,Epic Systems,2010,0.38,76,8.3,M,28,9.3,Other,False,Mid
Explorer Saga,XSX,Adventure,Cosmic Studios,2020,0.31,89,8.9,T,36,19.8,EU,False,High
Dragon Match,PS5,Sports,Cosmic Entertainment,2020,0.19,74,6.7,T,31,17.3,Other,False,Mid
Raven School,WiiU,Indie,Thunder Games,2016,0.13,66,7.0,RP,4,2.2,JP,False,Mid
Pro School,PS5,Indie,Lightning Games,2020,0.02,52,5.3,M,20,17.4,Other,True,Low
Classic Tales,XSX,Indie,Crystal Systems,2020,0.65,73,7.8,T,34,29.1,Other,True,Mid
Cat Games: Revolution,WiiU,Party,Thunder Studios,2012,0.14,64,7.1,T,12,7.6,JP,False,Low
Tournament Odyssey 4,PS3,Fighting,Digital Productions,2006,0.17,82,7.6,T,12,5.4,EU,False,High
World Chronicles 5,GC,Simulation,Epic Systems,2007,0.45,69,7.2,T,8,3.2,NA,True,Mid
Shot Chronicles,PS1,Shooter,Thunder Interactive,2005,0.15,75,7.4,T,39,24.1,NA,False,Mid
Battle Quest,PS5,Strategy,Crystal Systems,2020,0.67,66,6.1,E,25,20.1,JP,True,Mid
Hamster Life,PS2,Simulation,Cosmic Productions,2000,0.28,58,5.5,E,11,3.2,Other,False,Low
Farm Tales,N64,Simulation,Legendary Entertainment,2002,0.24,76,8.0,E10+,12,2.9,Other,False,Mid
Old Adventure 5,PS5,Indie,Crystal Games,2020,0.47,72,7.2,E10+,19,8.3,Other,True,Mid
Collection Legends: Awakening,Switch,Party,Silver Works,2017,0.06,82,7.3,M,18,11.1,JP,True,High
Speed Chronicles,GC,Platform,Red Entertainment,2007,0.36,75,7.6,E,16,8.6,Other,False,Mid
Bat Trophy 4,NES,Sports,Thunder Studios,1994,0.51,77,8.2,T,9,6.7,NA,False,Mid
Falcon Tournament,PC,Sports,Thunder Entertainment,1989,0.24,69,6.9,E10+,45,14.9,EU,False,Mid
Fire Journey,XOne,Shooter,Purple Works,2013,0.77,59,5.7,M,48,82.2,EU,True,Low
Robot Puzzle,PS3,Puzzle,Cosmic Entertainment,2013,0.05,66,7.1,T,5,1.1,EU,False,Mid
Pro Trophy,PS4,Sports,Cosmic Productions,2013,0.23,82,8.0,E,17,22.9,JP,False,High
Fire Quest,PC,Shooter,Green Systems,2010,0.11,63,6.5,M,55,52.9,Other,False,Low
Classic Journey,PC,Indie,Legendary Entertainment,2016,0.1,72,6.2,E,28,11.4,EU,True,Mid
Prince Think,GC,Puzzle,Legendary Entertainment,2007,0.27,86,8.5,E10+,7,2.5,JP,False,High
Hyper Game,PS1,Sports,Red Entertainment,2005,0.87,71,7.7,T,10,4.7,NA,False,Mid
Rabbit Dimension,XOne,Role-Playing,Thunder Entertainment,2013,0.23,79,8.9,M,52,44.0,Other,True,Mid
Victory Stories: Awakening,PC,Sports,Thunder Studios,1990,1.2,64,5.8,E10+,55,11.5,Other,True,Low
Jump Odyssey,SNES,Platform,Epic Systems,1998,0.6,85,8.3,T,11,8.8,JP,True,High
Samurai Racing: Return,PC,Racing,Crystal Designs,2012,0.18,98,9.8,M,22,8.1,EU,False,Top
Leap Tales: Revenge,PS4,Platform,Stellar Entertainment,2016,0.54,85,8.6,E,18,7.1,JP,False,High
Rabbit Warrior,N64,Action,Legendary Entertainment,2002,0.71,80,8.2,M,23,10.9,JP,False,High
Path Saga,PS4,Role-Playing,Lightning Systems,2020,0.28,67,7.1,T,51,31.3,JP,True,Mid
Trophy Quest,XSX,Sports,Thunder Studios,2020,0.31,71,7.2,T,50,35.0,NA,False,Mid
Conquest Legends 2,SNES,Strategy,Golden Entertainment,1998,0.12,82,7.3,T,16,4.4,EU,True,High
Pro Tournament,X360,Fighting,Cosmic Productions,2014,0.05,98,9.6,T,7,4.1,JP,True,Top
Odyssey Stories,X360,Adventure,Cyber Entertainment,2016,0.03,82,8.5,T,10,1.6,Other,False,High
Mega Pure,PC,Indie,Storm Games,2012,0.06,61,6.2,M,15,5.0,EU,False,Low
Tiger World 5,PS2,Role-Playing,Stellar Systems,2001,0.48,70,7.4,M,33,6.0,Other,False,Mid
Falcon Voyage,PS1,Adventure,Green Labs,2005,0.22,61,5.3,T,16,8.3,Other,False,Low
Bear Cup,Switch,Sports,Thunder Games,2020,0.42,69,6.6,E,18,5.6,Other,False,Mid
Mystery Tales,Switch,Puzzle,Epic Systems,2017,0.06,91,9.8,E10+,3,1.8,Other,False,Top
Park Quest,Switch,Simulation,Legendary Entertainment,2020,0.17,96,9.8,M,12,8.6,EU,True,Top
Phoenix Mini,PC,Party,Silver Creations,1996,0.07,71,7.2,T,36,17.9,Other,True,Mid
Cat Combat,XOne,Fighting,Storm Games,2013,0.9,80,8.5,M,59,45.7,Other,False,High
Pack Adventure,Switch,Party,Legendary Entertainment,2017,0.76,75,7.4,T,11,3.3,EU,False,Mid
Fire Stories,XSX,Shooter,Neon Designs,2020,0.44,61,7.1,T,67,50.0,Other,False,Low
Dog Bridge,PS5,Role-Playing,Thunder Studios,2020,0.83,74,7.0,E,31,27.3,JP,True,Mid
Empire Chronicles,PC,Role-Playing,Crystal Games,2017,0.42,58,5.9,T,47,7.7,JP,True,Low
Shark Blast,XOne,Shooter,Crystal Games,2015,1.49,92,9.0,E,57,38.9,NA,True,Top
Alien Ring,X360,Fighting,Purple Designs,2016,0.03,51,5.1,T,19,5.4,NA,False,Low
Scope Journey,PS4,Shooter,Green Labs,2013,0.59,76,7.5,E,74,41.9,Other,True,Mid
Cat Cup 2,PC,Sports,Thunder Interactive,2007,0.02,72,7.7,E,32,8.3,JP,True,Mid
Hamster Velocity: Rebirth,PS3,Racing,Digital Productions,2017,0.1,58,5.7,T,14,6.6,EU,False,Low
Explorer Adventure,PC,Adventure,Cyber Entertainment,2013,0.2,79,7.3,M,36,19.6,JP,True,Mid
Fury Odyssey,PS1,Action,Storm Games,2005,1.02,74,7.7,M,24,10.9,NA,False,Mid
Arcade Tales: Revival,Wii,Indie,Cyber Studios,2012,0.1,50,5.4,E10+,5,1.9,NA,True,Low
Pure Stories,Switch,Indie,Purple Designs,2017,0.01,67,7.2,T,5,1.6,JP,False,Mid
Hotel Quest 3,WiiU,Simulation,Neon Systems,2012,0.03,73,6.5,T,20,6.4,Other,False,Mid
Assortment Chronicles: Rising,PC,Party,Thunder Games,1996,0.39,67,7.4,M,33,6.8,JP,True,Mid
Trigger Chronicles,XSX,Shooter,Legendary Entertainment,2020,0.6,67,6.7,T,56,70.1,JP,False,Mid
Resort Saga,WiiU,Simulation,Blue Games,2017,0.08,68,7.2,T,22,11.8,NA,False,Mid
Dog Game,Wii,Sports,Thunder Games,2013,0.78,57,5.7,T,18,7.5,EU,False,Low
Pack Journey,PC,Party,Cyber Entertainment,2007,1.03,82,8.5,T,34,8.0,JP,True,High
Fight Odyssey,GC,Fighting,Silver Works,2007,0.17,83,8.5,E10+,18,3.4,Other,True,High
Robot Sim,PS5,Simulation,Green Designs,2020,0.02,75,7.7,E10+,39,21.9,EU,False,Mid
Pro Season 2,PS4,Sports,Cosmic Labs,2013,0.45,68,6.8,E,45,36.9,NA,True,Mid
Warrior Quest,X360,Adventure,Legendary Entertainment,2016,0.14,81,8.5,M,12,6.7,JP,False,High
Vintage Stories,NES,Indie,Epic Systems,1994,0.62,85,8.6,T,5,2.5,EU,True,High
Raven Quest,PS5,Adventure,Thunder Studios,2020,0.67,75,7.8,M,26,19.0,Other,False,Mid
Cat Variety 2,GC,Party,Neon Designs,2007,0.14,57,5.5,T,9,2.6,JP,False,Low
Knight Turbo,X360,Racing,Cosmic Labs,2005,0.04,78,8.1,M,17,6.6,JP,False,Mid
Brain Adventure,Wii,Puzzle,Storm Interactive,2006,0.13,75,7.5,E10+,3,2.2,Other,False,Mid
Knight Season,PS3,Sports,Red Entertainment,2006,0.22,81,8.2,E,7,3.6,EU,True,High
Zoo Epic: Revenge,Switch,Simulation,Legendary Entertainment,2017,0.14,66,7.2,T,17,7.5,Other,False,Mid
Arcade Adventure,PS4,Indie,Thunder Studios,2013,0.13,65,6.0,T,33,23.1,Other,False,Mid
Falcon Battle,PS2,Action,Cyber Entertainment,2012,0.35,76,7.6,T,21,21.3,EU,False,Mid
Hawk Finish,X360,Racing,Lightning Games,2015,0.06,83,8.5,T,19,10.4,NA,False,High
Simple Quest 3,NES,Indie,Silver Works,1994,0.24,74,7.6,M,6,4.1,Other,False,Mid
Dash Legends: Revolution,PS4,Platform,Future Interactive,2013,0.32,84,7.8,E,23,15.0,JP,False,High
Bundle Saga,GC,Party,Purple Works,2007,0.19,75,7.8,E,15,7.5,NA,False,Mid
Speed Adventure,N64,Platform,Purple Labs,2002,0.24,69,7.4,M,24,9.2,EU,False,Mid
Ultimate Variety,SNES,Party,Crystal Designs,1998,0.47,92,9.6,T,13,4.4,JP,False,Top
King League,PS5,Sports,Thunder Games,2020,0.58,75,7.3,M,28,31.9,JP,False,Mid
Arcade Odyssey,Wii,Indie,Cosmic Labs,2012,0.08,72,6.6,M,5,1.5,EU,False,Mid
Conflict Odyssey,PS4,Strategy,Cosmic Productions,2013,0.21,79,8.8,T,40,18.2,NA,False,Mid
Conflict Epic,X360,Strategy,Lightning Systems,2013,0.35,60,5.7,E,8,1.6,Other,False,Low
Lord Champion,X360,Sports,Cosmic Productions,2013,0.44,73,6.7,T,22,5.5,EU,False,Mid
Discovery Journey,PS5,Adventure,Cyber Entertainment,2020,0.03,56,6.1,E,44,34.7,EU,True,Low
Trigger Quest,X360,Shooter,Crystal Entertainment,2016,0.98,85,8.1,T,24,13.8,NA,False,High
Owl Finish,XSX,Racing,Green Systems,2020,0.38,64,6.4,M,21,10.7,Other,False,Low
Super Turbo 3,N64,Racing,Blue Games,2002,0.88,85,7.7,E,23,10.7,EU,False,High
Universe Chronicles 3,Switch,Role-Playing,Storm Games,2017,1.5,69,6.4,M,37,28.3,JP,False,Mid
Game Quest,XOne,Sports,Neon Designs,2013,0.66,74,7.1,M,18,14.8,Other,True,Mid
Rat Nitro,N64,Racing,Silver Works,2002,0.09,76,8.0,E,17,9.9,Other,False,Mid
Weapon Tales 2,PS4,Shooter,Crystal Systems,2013,0.03,76,7.2,T,69,36.9,EU,True,Mid
Combat Quest,Wii,Action,Thunder Interactive,2006,0.37,71,6.6,E,24,28.6,JP,False,Mid
Jump Journey,PS4,Platform,Crystal Entertainment,2013,0.47,73,7.2,T,18,4.9,NA,True,Mid
Empire Odyssey,SNES,Role-Playing,Thunder Games,1998,0.22,67,6.7,E,37,11.8,JP,False,Mid
Rage Journey,PS5,Action,Cosmic Entertainment,2020,0.75,61,5.8,T,62,63.9,EU,False,Low
Storm Odyssey,Wii,Action,Thunder Interactive,2013,0.22,84,8.6,M,22,11.8,NA,False,High
Storm Saga,GC,Action,Purple Studios,2007,0.27,79,8.4,E10+,30,18.9,JP,False,Mid
Sim Stories 3,PS1,Simulation,Stellar Entertainment,2005,0.22,61,6.1,T,17,10.8,Other,False,Low
Explorer Journey,PC,Adventure,Thunder Games,2005,0.69,66,6.7,M,34,11.4,Other,True,Mid
Ultimate Siege,XOne,Strategy,Thunder Studios,2013,0.07,61,6.2,E,40,35.6,JP,True,Low
Ninja Clash 5,PS4,Fighting,Storm Games,2013,0.02,69,6.5,E,44,42.3,JP,False,Mid
Track Quest,NES,Racing,Purple Designs,1994,0.33,91,8.8,E10+,21,6.0,EU,False,Top
Racing Chronicles 2,SNES,Racing,Cyber Studios,1998,0.15,57,5.2,RP,9,4.2,JP,True,Low
School Odyssey 5,GC,Indie,Silver Creations,2007,0.16,67,7.3,E,5,1.6,NA,True,Mid
Crow Quest,NES,Adventure,Purple Works,1994,0.37,72,7.1,E,20,6.5,NA,True,Mid
King Blast,PS4,Shooter,Storm Studios,2013,0.26,74,8.1,E,45,76.5,NA,False,Mid
Leap Epic,GC,Platform,Lightning Systems,2007,0.13,73,8.0,E,18,8.9,NA,False,Mid
Pirate Farm,PC,Simulation,Stellar Systems,2012,0.66,76,6.6,M,45,29.6,EU,True,Mid
Turbo Odyssey,PS1,Racing,Cosmic Entertainment,2005,0.07,76,7.6,E,10,6.7,NA,True,Mid
Pure Odyssey,NES,Indie,Epic Systems,1994,0.01,81,9.0,M,3,1.9,Other,True,High
World Quest 5,PC,Role-Playing,Cosmic Productions,2019,0.97,86,8.1,T,53,26.1,NA,True,High
Defense Adventure,SNES,Strategy,Neon Systems,1998,0.18,62,5.0,E,9,2.8,NA,False,Low
Launch Journey 5,Wii,Platform,Lightning Games,2011,0.55,80,7.7,E,10,5.7,EU,False,High
Lap Chronicles,PS2,Racing,Cyber Entertainment,2009,0.52,80,8.2,E,18,7.4,Other,True,High
Attack Odyssey,PC,Strategy,Cyber Studios,2019,0.03,74,8.3,E10+,45,22.5,JP,True,Mid
Phoenix Victory,PS3,Sports,Purple Labs,2017,0.38,50,4.9,E,16,4.4,Other,True,Low
City Odyssey 2,XOne,Simulation,Golden Entertainment,2015,0.34,64,6.7,T,46,16.3,NA,False,Low
Quest Quest,WiiU,Adventure,Neon Designs,2015,0.34,70,6.7,E,11,2.1,NA,True,Mid
Leap Tales,PS5,Platform,Stellar Entertainment,2020,0.26,61,5.7,E,30,29.3,JP,True,Low
Super Explorer,PS3,Adventure,Cyber Entertainment,2017,0.44,48,4.8,T,18,9.7,JP,True,Low
Bounce Adventure,PC,Platform,Neon Systems,1994,0.08,79,7.8,RP,19,10.4,Other,True,Mid
Ninja Riddle,N64,Puzzle,Blue Games,2002,0.09,70,6.8,E10+,4,1.3,EU,True,Mid
Crow Dash,X360,Platform,Future Interactive,2014,0.09,51,5.4,E,21,7.7,Other,True,Low
Match Legends,Switch,Fighting,Thunder Games,2017,0.21,76,7.4,M,9,4.1,JP,False,Mid
Old Adventure 2,Switch,Indie,Thunder Interactive,2017,0.11,51,4.7,T,3,1.3,EU,True,Low
World Saga 3,WiiU,Simulation,Future Interactive,2012,0.19,69,6.4,T,12,4.4,EU,False,Mid
Pro Scope,SNES,Shooter,Legendary Entertainment,1998,0.16,63,6.5,T,27,8.7,JP,False,Low
Drive Odyssey 5,XOne,Racing,Purple Studios,2013,0.14,67,6.4,E10+,38,23.2,EU,False,Mid
Monster Tactics,XOne,Strategy,Epic Systems,2013,0.39,74,7.7,M,16,6.2,Other,False,Mid
Brawl Saga,PS3,Fighting,Future Interactive,2006,0.28,84,7.1,E10+,14,10.0,NA,False,High
Boost Stories: Revolution,Switch,Platform,Cosmic Labs,2017,0.18,65,5.9,M,16,4.2,JP,False,Mid
Raven Blast,PC,Shooter,Storm Studios,2006,1.4,80,8.5,E10+,50,42.4,NA,True,High
Brawl Chronicles,PS5,Fighting,Thunder Studios,2020,0.05,65,6.1,M,36,28.6,JP,False,Mid
Combat Quest 5,PS5,Action,Storm Games,2020,0.44,66,7.1,E,25,22.2,Other,False,Mid
Duel Stories,Switch,Fighting,Cosmic Entertainment,2017,0.39,89,9.8,E10+,15,8.1,JP,False,High
Ultimate Universe 2,PS5,Role-Playing,Crystal Systems,2020,0.25,76,8.3,E,53,40.9,NA,False,Mid
Mix Stories,X360,Party,Cosmic Games,2007,0.03,56,6.1,T,12,6.4,EU,False,Low
Bat Park 5,PS1,Simulation,Future Interactive,2005,0.24,98,9.8,E10+,15,2.7,Other,True,Top
Siege Quest: Resurrection,Switch,Strategy,Lightning Systems,2017,0.18,81,8.0,E,25,15.3,EU,False,High
Scope Tales,PS4,Shooter,Digital Productions,2013,0.98,79,7.1,E10+,55,68.8,EU,False,Mid
Simple Journey 3,SNES,Indie,Cosmic Studios,1998,0.06,51,5.2,E,8,3.3,NA,False,Low
Journey Odyssey,Wii,Adventure,Stellar Systems,2009,0.29,87,8.5,T,15,7.8,NA,False,High
Bounce Odyssey,PS4,Platform,Crystal Systems,2013,0.98,75,7.0,E10+,42,26.2,NA,False,Mid
Brawl Odyssey,GC,Fighting,Neon Systems,2007,0.06,75,7.3,E,5,1.3,Other,False,Mid
Ultimate Tactics 4,WiiU,Strategy,Storm Interactive,2017,0.09,84,7.6,T,24,15.5,JP,False,High
Kingdom Quest,PS5,Role-Playing,Purple Designs,2020,0.08,68,7.3,E,54,43.5,NA,False,Mid
Wolf Blast,PS3,Shooter,Crystal Designs,2017,0.3,74,6.8,E,21,6.3,EU,False,Mid
Match Odyssey,WiiU,Sports,Storm Games,2012,0.71,80,8.5,M,11,5.0,EU,False,High
Bat Run: Return,Switch,Platform,Thunder Entertainment,2022,0.17,68,7.2,T,14,4.0,NA,False,Mid
Scope Odyssey,Switch,Shooter,Neon Works,2017,0.96,65,5.6,E,28,16.9,JP,True,Mid
Bear Bridge,PS4,Role-Playing,Stellar Systems,2013,0.5,57,6.1,T,47,49.3,JP,False,Low
Conquest Quest 5,PC,Strategy,Green Systems,2003,0.02,64,7.2,T,31,19.9,Other,True,Low
Hyper Puzzle 3,XSX,Puzzle,Cosmic Studios,2020,0.05,68,7.0,E,21,17.1,JP,False,Mid
Wizard Indie,XOne,Indie,Crystal Systems,2013,0.01,84,8.7,T,21,11.6,JP,True,High
Run Chronicles,Switch,Platform,Stellar Systems,2017,0.55,86,8.6,RP,23,9.4,Other,False,High
Victory Adventure 2,Wii,Sports,Red Entertainment,2012,0.88,73,8.1,M,12,3.9,Other,False,Mid
Gate Odyssey: Revenge,WiiU,Role-Playing,Purple Studios,2016,0.69,64,6.4,E10+,21,15.7,Other,False,Low
Hawk Challenge,XSX,Puzzle,Cyber Studios,2020,0.14,83,8.7,E10+,9,2.9,JP,False,High
